0.00.318.843 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.424.319 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_K_M.gguf'
0.39.896.873 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.39.933.382 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.39.933.439 I srv  llama_server: model loaded
0.39.933.447 I srv  llama_server: listening on http://0.0.0.0:8091
0.40.019.200 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.40.019.311 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.41.123.674 I slot print_timing: id  3 | task 0 | prompt eval time =    1012.38 ms /    13 tokens (   77.88 ms per token,    12.84 tokens per second)
0.41.123.682 I slot print_timing: id  3 | task 0 |        eval time =      91.90 ms /     2 tokens (   45.95 ms per token,    21.76 tokens per second)
0.41.123.684 I slot print_timing: id  3 | task 0 |       total time =    1104.29 ms /    15 tokens
0.41.123.688 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.41.123.735 I slot      release: id  3 | task 0 | stop processing: n_tokens = 14, truncated = 0
0.41.284.564 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.41.285.229 I slot launch_slot_: id  2 | task 4 | processing task, is_child = 0
0.44.650.319 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =    358, progress = 0.73, t =   3.08 s / 116.12 tokens per second
0.45.636.869 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =    469, progress = 0.96, t =   4.07 s / 115.25 tokens per second
0.47.626.227 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =    486, progress = 0.99, t =   6.06 s / 80.21 tokens per second
0.50.874.692 I slot print_timing: id  2 | task 4 | prompt eval time =    6860.83 ms /   490 tokens (   14.00 ms per token,    71.42 tokens per second)
0.50.874.701 I slot print_timing: id  2 | task 4 |        eval time =    2446.56 ms /    29 tokens (   84.36 ms per token,    11.85 tokens per second)
0.50.874.703 I slot print_timing: id  2 | task 4 |       total time =    9307.40 ms /   519 tokens
0.50.874.704 I slot print_timing: id  2 | task 4 |    graphs reused =         27
0.50.875.075 I slot      release: id  2 | task 4 | stop processing: n_tokens = 518, truncated = 0
0.50.916.976 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.50.917.321 I slot launch_slot_: id  1 | task 37 | processing task, is_child = 0
0.55.099.717 I slot print_timing: id  1 | task 37 | prompt processing, n_tokens =    467, progress = 0.96, t =   3.57 s / 130.96 tokens per second
0.57.100.712 I slot print_timing: id  1 | task 37 | prompt processing, n_tokens =    481, progress = 0.99, t =   5.57 s / 86.40 tokens per second
1.00.259.052 I slot print_timing: id  1 | task 37 | prompt eval time =    6368.78 ms /   485 tokens (   13.13 ms per token,    76.15 tokens per second)
1.00.259.060 I slot print_timing: id  1 | task 37 |        eval time =    2356.40 ms /    28 tokens (   84.16 ms per token,    11.88 tokens per second)
1.00.259.061 I slot print_timing: id  1 | task 37 |       total time =    8725.18 ms /   513 tokens
1.00.259.063 I slot print_timing: id  1 | task 37 |    graphs reused =         53
1.00.259.199 I slot      release: id  1 | task 37 | stop processing: n_tokens = 512, truncated = 0
1.00.296.612 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.961 (> 0.100 thold), f_keep = 0.918
1.00.297.145 I slot launch_slot_: id  1 | task 69 | processing task, is_child = 0
1.04.900.868 I slot print_timing: id  1 | task 69 | prompt eval time =    1003.50 ms /    22 tokens (   45.61 ms per token,    21.92 tokens per second)
1.04.900.876 I slot print_timing: id  1 | task 69 |        eval time =    3600.17 ms /    42 tokens (   85.72 ms per token,    11.67 tokens per second)
1.04.900.878 I slot print_timing: id  1 | task 69 |       total time =    4603.67 ms /    64 tokens
1.04.900.879 I slot print_timing: id  1 | task 69 |    graphs reused =         92
1.04.900.987 I slot      release: id  1 | task 69 | stop processing: n_tokens = 530, truncated = 0
1.04.937.283 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.971 (> 0.100 thold), f_keep = 0.887
1.04.937.815 I slot launch_slot_: id  1 | task 113 | processing task, is_child = 0
1.08.253.253 I slot print_timing: id  1 | task 113 | prompt eval time =    1044.85 ms /    17 tokens (   61.46 ms per token,    16.27 tokens per second)
1.08.253.261 I slot print_timing: id  1 | task 113 |        eval time =    2270.53 ms /    27 tokens (   84.09 ms per token,    11.89 tokens per second)
1.08.253.263 I slot print_timing: id  1 | task 113 |       total time =    3315.38 ms /    44 tokens
1.08.253.264 I slot print_timing: id  1 | task 113 |    graphs reused =        117
1.08.253.363 I slot      release: id  1 | task 113 | stop processing: n_tokens = 510, truncated = 0
1.08.291.390 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.08.344.787 I slot launch_slot_: id  0 | task 142 | processing task, is_child = 0
1.12.574.503 I slot print_timing: id  0 | task 142 | prompt eval time =    1031.50 ms /    20 tokens (   51.58 ms per token,    19.39 tokens per second)
1.12.574.511 I slot print_timing: id  0 | task 142 |        eval time =    2362.43 ms /    28 tokens (   84.37 ms per token,    11.85 tokens per second)
1.12.574.513 I slot print_timing: id  0 | task 142 |       total time =    3393.93 ms /    48 tokens
1.12.574.514 I slot print_timing: id  0 | task 142 |    graphs reused =        143
1.12.574.630 I slot      release: id  0 | task 142 | stop processing: n_tokens = 516, truncated = 0
1.12.612.961 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 177034949806
1.12.613.413 I slot launch_slot_: id  3 | task 172 | processing task, is_child = 0
1.16.902.944 I slot print_timing: id  3 | task 172 | prompt processing, n_tokens =    465, progress = 0.96, t =   3.56 s / 130.44 tokens per second
1.18.906.040 I slot print_timing: id  3 | task 172 | prompt processing, n_tokens =    480, progress = 0.99, t =   5.57 s / 86.21 tokens per second
1.22.895.280 I slot print_timing: id  3 | task 172 | prompt eval time =    6369.02 ms /   484 tokens (   13.16 ms per token,    75.99 tokens per second)
1.22.895.288 I slot print_timing: id  3 | task 172 |        eval time =    3188.20 ms /    37 tokens (   86.17 ms per token,    11.61 tokens per second)
1.22.895.289 I slot print_timing: id  3 | task 172 |       total time =    9557.22 ms /   521 tokens
1.22.895.291 I slot print_timing: id  3 | task 172 |    graphs reused =        177
1.22.895.425 I slot      release: id  3 | task 172 | stop processing: n_tokens = 520, truncated = 0
1.22.933.114 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 177044701147
1.23.009.917 I slot launch_slot_: id  2 | task 213 | processing task, is_child = 0
1.28.073.046 I slot print_timing: id  2 | task 213 | prompt eval time =    1076.34 ms /    26 tokens (   41.40 ms per token,    24.16 tokens per second)
1.28.073.054 I slot print_timing: id  2 | task 213 |        eval time =    3501.57 ms /    41 tokens (   85.40 ms per token,    11.71 tokens per second)
1.28.073.056 I slot print_timing: id  2 | task 213 |       total time =    4577.91 ms /    67 tokens
1.28.073.057 I slot print_timing: id  2 | task 213 |    graphs reused =        216
1.28.073.176 I slot      release: id  2 | task 213 | stop processing: n_tokens = 535, truncated = 0
1.28.110.479 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.946 (> 0.100 thold), f_keep = 0.884
1.28.111.120 I slot launch_slot_: id  2 | task 256 | processing task, is_child = 0
1.33.346.721 I slot print_timing: id  2 | task 256 | prompt eval time =    1037.51 ms /    31 tokens (   33.47 ms per token,    29.88 tokens per second)
1.33.346.730 I slot print_timing: id  2 | task 256 |        eval time =    4198.03 ms /    49 tokens (   85.67 ms per token,    11.67 tokens per second)
1.33.346.731 I slot print_timing: id  2 | task 256 |       total time =    5235.54 ms /    80 tokens
1.33.346.732 I slot print_timing: id  2 | task 256 |    graphs reused =        263
1.33.346.838 I slot      release: id  2 | task 256 | stop processing: n_tokens = 548, truncated = 0
1.33.382.922 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 177062079435
1.33.594.448 I slot launch_slot_: id  1 | task 307 | processing task, is_child = 0
1.39.176.645 I slot print_timing: id  1 | task 307 | prompt eval time =    1030.76 ms /    23 tokens (   44.82 ms per token,    22.31 tokens per second)
