0.00.021.056 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.021.404 W srv  llama_server: -----------------
0.00.021.406 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.021.406 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.021.406 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.021.406 W srv  llama_server: -----------------
0.00.022.626 I srv    load_model: loading model '/home/mark/Downloads/Qwen3.8-27B-AD-IQ2_S.gguf'
VMEAN tap: no live V layers — add disabled
TCQ1 decode: K/V codebooks (K=baked-in V=baked-in) hotswap=0
0.02.388.700 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.02.388.725 W no implementations specified for speculative decoding
0.02.388.729 W no implementations specified for speculative decoding
0.02.388.729 W no implementations specified for speculative decoding
0.02.388.729 W no implementations specified for speculative decoding
0.02.402.828 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.402.866 I srv  llama_server: model loaded
0.02.402.870 I srv  llama_server: listening on http://127.0.0.1:8080
0.04.153.238 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1 (best rejected sim = 0.000)
0.04.153.281 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
TCQ decode: context-adaptive V alpha enabled
0.04.278.851 W slot   operator(): id  0 | task 0 | created context checkpoint 1 of 32 (pos_min = 41, pos_max = 41, n_tokens = 42, size = 149.626 MiB)
0.04.383.374 W slot   operator(): id  0 | task 0 | created context checkpoint 2 of 32 (pos_min = 74, pos_max = 74, n_tokens = 75, size = 149.626 MiB)
0.07.877.818 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =  29.02 t/s, tg_3s =  29.02 t/s
0.10.883.204 I slot print_timing: id  0 | task 0 | n_decoded =    185, tg =  28.68 t/s, tg_3s =  28.28 t/s
0.13.917.499 I slot print_timing: id  0 | task 0 | n_decoded =    272, tg =  28.68 t/s, tg_3s =  28.67 t/s
0.16.925.605 I slot print_timing: id  0 | task 0 | n_decoded =    358, tg =  28.66 t/s, tg_3s =  28.59 t/s
0.19.944.169 I slot print_timing: id  0 | task 0 | n_decoded =    442, tg =  28.49 t/s, tg_3s =  27.83 t/s
0.22.957.187 I slot print_timing: id  0 | task 0 | n_decoded =    528, tg =  28.50 t/s, tg_3s =  28.54 t/s
