0.00.019.326 I VBR dynamic runtime controller: KV budget auto (remaining VRAM, resolved by fit), entry tier f16, floor 2.25 bits/value, price-ordered decode-time degrades
0.00.019.414 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.019.711 W srv  llama_server: -----------------
0.00.019.712 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.019.713 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.019.713 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.019.713 W srv  llama_server: -----------------
0.00.020.962 I srv    load_model: loading model '/mnt/TG_2TB/AI/Models/gsq-rco/Qwen3.8-27B-GSQ-RCO-IQ3_XXS-mtp.gguf'
0.00.021.039 I common_fit_params: VBR dynamic: fitting with KV priced at the turbo2_tcq floor tier
VMEAN tap: no live V layers — add disabled
0.00.348.353 I operator(): VBR dynamic: KV VRAM budget 5480 MiB (auto, from remaining memory) — decode-time degrade controller armed
0.00.597.486 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.597.492 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.597.499 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.597.501 W model has unused tensor blk.64.attn_k.weight (size = 4300800 bytes) -- ignoring
0.00.597.504 W model has unused tensor blk.64.attn_v.weight (size = 4300800 bytes) -- ignoring
0.00.597.513 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.597.515 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.597.518 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.597.520 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.597.523 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.597.525 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.597.529 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.597.532 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.597.534 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.597.542 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.786.933 I cmn          init: llama threadpool init, n_threads = 8
TCQ1 decode: K/V codebooks (K=baked-in V=baked-in) hotswap=0
GGML_TURBO_MMA_FUSED=0: fused turbo MMA kernel disabled
TCQ decode: context-adaptive V alpha enabled
0.01.920.664 I srv    load_model: computation-frontier ratchet: legacy reads authoritative, flip after 1024 qualifying agreements
0.01.920.670 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'true'
0.01.920.735 I srv    load_model: dynamic VBR idle caching will store projected artifacts; fixed KV state images remain disabled
0.01.921.498 I srv    load_model: decayed-frequency host-cache authority is enabled
0.01.925.991 I srv    load_model: VBR_ARTIFACT_CAPTURE store ready attention_children=1 lanes=1 requested_ring=67108864 constructed_ring=67108864 chunk=8388608
0.01.929.445 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.01.929.477 I srv  llama_server: model loaded
0.01.929.481 I srv  llama_server: listening on http://127.0.0.1:8090
0.02.979.942 I slot cache_plan_s: id  0 | task -1 | selected slot by LRU, t_last = -1 (best rejected sim = 0.000)
0.02.980.032 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.980.046 I slot   operator(): id  0 | task 0 | edit/divergence sample (cached/incoming/lcp/reusable/rewind/append/cache_prompt) = (0/11/0/0/0/11/1)
0.03.093.430 W slot   operator(): id  0 | task 0 | created context checkpoint 1 of 32 (pos_min = 6, pos_max = 6, n_tokens = 7, size = 149.626 MiB)
0.03.153.475 I slot print_timing: id  0 | task 0 | prompt eval time =     172.98 ms /    11 tokens (   15.73 ms per token,    63.59 tokens per second)
0.03.153.478 I slot print_timing: id  0 | task 0 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.153.479 I slot print_timing: id  0 | task 0 |       total time =     172.98 ms /    12 tokens
0.03.153.481 I slot print_timing: id  0 | task 0 |    graphs reused =          0
0.03.153.501 I slot      release: id  0 | task 0 | stop processing: n_tokens = 11, truncated = 0
0.05.818.301 I srv  publish_idle: VBR_IDLE_CAPTURE manifests=1 published=0 refreshed=0 displaced=0 union_cells=7 planned=157353116 transfers=32 duration_ms=1664.536
0.05.827.029 I slot cache_plan_s: id  0 | task -1 | selected slot by decayed retention value, t_last = 159021018426 (best rejected sim = 0.000)
0.05.827.459 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
0.05.827.469 I slot   operator(): id  0 | task 3 | edit/divergence sample (cached/incoming/lcp/reusable/rewind/append/cache_prompt) = (11/13135/1/1/10/13134/1)
0.10.063.376 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   4096, progress = 0.31, t =   4.24 s / 966.98 tokens per second
0.12.614.981 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   6144, progress = 0.47, t =   6.79 s / 905.19 tokens per second
0.15.349.985 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =   8192, progress = 0.62, t =   9.52 s / 860.28 tokens per second
TCQ: encode V alpha=1.0 (context-adaptive decode-time alpha active)
0.18.284.770 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =  10240, progress = 0.78, t =  12.46 s / 822.01 tokens per second
0.21.247.485 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =  12288, progress = 0.94, t =  15.42 s / 796.89 tokens per second
0.22.020.116 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =  12619, progress = 0.96, t =  16.19 s / 779.30 tokens per second
0.22.531.834 W slot   operator(): id  0 | task 3 | created context checkpoint 1 of 32 (pos_min = 12618, pos_max = 12618, n_tokens = 12619, size = 149.626 MiB)
0.22.580.261 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =  13033, progress = 0.99, t =  16.75 s / 777.96 tokens per second
0.23.214.478 W slot   operator(): id  0 | task 3 | created context checkpoint 2 of 32 (pos_min = 13032, pos_max = 13032, n_tokens = 13033, size = 149.626 MiB)
0.23.264.644 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =  13131, progress = 1.00, t =  17.44 s / 753.05 tokens per second
0.23.483.551 W slot   operator(): id  0 | task 3 | created context checkpoint 3 of 32 (pos_min = 13130, pos_max = 13130, n_tokens = 13131, size = 149.626 MiB)
0.27.576.313 I slot print_timing: id  0 | task 3 | n_gen =    100, tg =  24.67 t/s, tg_3s =  24.92 t/s
0.28.024.322 I slot print_timing: id  0 | task 3 | prompt eval time =   17736.43 ms / 13135 tokens (    1.35 ms per token,   740.57 tokens per second)
0.28.024.326 I slot print_timing: id  0 | task 3 |        eval time =    4460.02 ms /   111 tokens (   40.55 ms per token,    24.66 tokens per second)
0.28.024.327 I slot print_timing: id  0 | task 3 |       total time =   22196.45 ms / 13246 tokens
0.28.024.328 I slot print_timing: id  0 | task 3 |    graphs reused =        109
0.28.024.877 I slot      release: id  0 | task 3 | stop processing: n_tokens = 13245, truncated = 0
0.28.201.348 I slot cache_plan_s: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 0.992
0.28.201.856 I slot launch_slot_: id  0 | task 124 | processing task, is_child = 0
0.28.201.873 I slot   operator(): id  0 | task 124 | edit/divergence sample (cached/incoming/lcp/reusable/rewind/append/cache_prompt) = (13245/13245/13134/13134/111/111/1)
0.28.201.995 I slot   operator(): id  0 | task 124 | VBR_RETIER_PREFLIGHT owner=server_checkpoint_restore result=fits fault=0 pools=1 watermark=13312 needed=365035520 available=365035520 physical_growth=0 physical_free=0 max_deficit=0
0.28.209.501 W slot   operator(): id  0 | task 124 | restored context checkpoint (pos_min = 13130, pos_max = 13130, n_tokens = 13131, n_past = 13131, size = 149.626 MiB)
0.28.209.507 I slot   operator(): id  0 | task 124 | CHECKPOINT_ATTN_ONLY_TRIM p0=13131 target=1 draft=0
0.32.570.890 I slot print_timing: id  0 | task 124 | n_gen =    100, tg =  24.41 t/s, tg_3s =  24.66 t/s
0.35.574.006 I slot print_timing: id  0 | task 124 | n_gen =    174, tg =  24.51 t/s, tg_3s =  24.64 t/s
0.36.548.153 I slot print_timing: id  0 | task 124 | prompt eval time =     313.96 ms /   114 tokens (    2.75 ms per token,   363.11 tokens per second)
0.36.548.155 I slot print_timing: id  0 | task 124 |        eval time =    8031.97 ms /   198 tokens (   40.77 ms per token,    24.53 tokens per second)
0.36.548.156 I slot print_timing: id  0 | task 124 |       total time =    8345.92 ms /   312 tokens
0.36.548.157 I slot print_timing: id  0 | task 124 |    graphs reused =        304
0.36.548.657 I slot      release: id  0 | task 124 | stop processing: n_tokens = 13442, truncated = 0
0.38.618.160 I slot cache_plan_s: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.723 (> 0.100 thold), f_keep = 0.706
